customer_id,full_name,dob,gender,phone_number,email,address,pan_number,aadhaar_number,account_number,account_type,bank_branch,ifsc_code,kyc_verified
CUST439964,Udyati Dalal,1995-06-24,Other,0355537969,libni82@example.net,"60/524, Gandhi Marg, Raurkela Industrial Township, Chhattisgarh - 559959",ELRMS5457E,147734855459,5045244762425894,Salary,Raurkela Industrial Township - Bala Circle,FUSB873258,False
CUST490564,Sai Dalal,1972-09-11,Male,+917779500,baghyawati98@example.org,"400, Shanker, Motihari, Nagaland - 678336",YQRPV7977Q,195066546420,381177234892587,Current,Maheshtala - Kumer Marg,VODH970823,True
CUST246022,Zaid Bawa,1989-06-25,Male,4623161215,omisha52@example.com,"96/48, Bhattacharyya Circle, Sambalpur, Kerala - 219179",ALCCA4079O,832461939024,644964154593,Savings,Kochi - Nair Nagar,OAIK692565,False
CUST467251,Warjas Gour,1948-03-25,Female,+910673801,amol75@example.net,"98/63, Padmanabhan Road, Visakhapatnam, Tripura - 039304",TNATQ3183O,658601673509,6743645933668642,Savings,Patiala - Viswanathan Zila,QKIW713929,False
CUST227165,Rajata Mammen,1972-01-10,Female,+914230048,doralipika@example.net,"H.No. 64
Gera Road, Bally, Nagaland - 610631",UVMCU6884B,370099494361,565027016285,Salary,Karawal Nagar - Kakar Marg,BWQX498414,False
CUST709936,Charvi Gokhale,1975-08-22,Male,0688056544,sankargabriel@example.net,"H.No. 95, Raghavan Street, Bardhaman, Mizoram - 523082",PQYCM9894Z,865695833503,7060162191398,Salary,Yamunanagar - Nagy Path,YBED985788,False
CUST276568,Laksh Rajagopal,1947-11-18,Other,0080893373,simonkari@example.com,"14/09
Saha Nagar, Dehradun, Tamil Nadu - 356560",HOXAU1184J,854895578779,168689308250235,Current,Katihar - Seshadri Path,MFXR346593,True
CUST284296,Aarush Garde,2005-04-04,Other,1307917763,gaderiya@example.com,"64, Shan Ganj, Vadodara, Arunachal Pradesh - 738388",IRRHH6837W,412752063339,31052626294960,Savings,Eluru - Behl Chowk,QTTW102705,True
CUST869954,Dalaja Madan,1957-08-12,Female,+919863564,loyalcharan@example.com,"84/884
Anand Road, Anantapuram, Arunachal Pradesh - 883554",HATJI0679Q,052238299967,396627883364025,Current,Tiruchirappalli - Seth Nagar,VWJX359005,False
CUST864834,Aarush Krishnamurthy,1946-11-12,Other,+915221385,vasudhaguha@example.org,"896, Butala Circle, Adoni, Himachal Pradesh - 667062",EXFIB5263U,218910609721,3946578433252531,NRI,Karawal Nagar - Chacko,TYPH563810,True
CUST867220,Theodore Vohra,1999-01-08,Female,+916146419,damyanti68@example.net,"77, Shukla Street, Vellore, Haryana - 178276",TSMBY0129I,240232659034,1169499878552,Current,Tadepalligudem - Walla,PQDY498673,False
CUST343141,Gagan Bera,1951-03-05,Male,0411702017,charvi72@example.net,"645, Dash Ganj, Baranagar, Bihar - 101950",RVNMX5813M,927280388967,8860564978553,Salary,Gudivada - Srinivasan Road,LXGE655019,True
CUST971040,Guneet Aggarwal,1957-06-13,Female,2828294491,eissac@example.com,"36/138, Rai Path, Gulbarga, Mizoram - 840251",WQKVK5340Y,170423658896,13104644776384,Savings,Chandrapur - Chand Chowk,WGJB708449,False
CUST980599,Vedant Mani,2001-04-05,Male,0289620340,fnagarajan@example.net,"39/24, Dara Chowk, Anantapuram, Andhra Pradesh - 228641",QZIOM5320I,368188229107,344006691939,NRI,North Dumdum - Ravi Road,CTNT278974,True
CUST721708,Om Sharaf,1969-01-19,Other,0193167186,kalaanay@example.net,"H.No. 90
Muni Zila, Bhilwara, Meghalaya - 973124",YYHEB0000Y,355143143616,008883419603267,Current,Mumbai - Chawla Street,ZTAZ890573,True
CUST937237,Imaran Modi,1973-06-11,Other,+913603936,bhavnasunder@example.net,"09/771
Nori Road, Baranagar, Goa - 321662",LJYMK5096X,308141392957,9514299564525,NRI,Dhule - Karan Street,ZUMB989634,True
CUST441142,Zinal Sridhar,1967-11-16,Other,+918129974,oliverravel@example.net,"40/07, Randhawa Marg, Morena, Tamil Nadu - 777140",XCTZT4608F,894972109903,3823673184363753,Salary,Tadipatri - Bala Road,CKXQ593354,True
CUST798466,Umang More,1987-09-18,Male,5379795701,harishravya@example.com,"H.No. 45, Bansal Nagar, Jalandhar, Kerala - 021425",PEZMR8437X,639165492581,17949231183258,NRI,Ranchi - Dhawan Street,DQLL277811,True
CUST182708,Mahika Sastry,2006-09-07,Male,+914148403,rkrishnamurthy@example.org,"29/955, Deo Street, Kota, West Bengal - 411363",MCHUF2911Q,536486341797,134613449125,Savings,Sirsa - Mistry Nagar,JSFN808673,False
CUST231707,Ayaan Deshpande,1977-08-23,Male,3430627951,unnati69@example.org,"17, Kothari, Sagar, Maharashtra - 563075",AWTLZ5369P,430241330340,5020323602626371,Salary,Bhalswa Jahangir Pur - Parekh Chowk,LDRV473517,False
CUST510403,Daksha Gopal,1947-02-08,Female,+911501225,sacharisaac@example.com,"09/635, Pillay Marg, Amroha, Uttar Pradesh - 479082",ICQIX3601V,946813576093,65606826643869,Current,Udaipur - Sama,XMPM046621,False
CUST197598,Ekapad Magar,1966-10-02,Female,0432045932,ucchalsandhu@example.org,"12/05, Soni Ganj, Panihati, Rajasthan - 415848",QCAGA0316T,855604011253,0863142973914,Salary,Gorakhpur - Mammen Zila,NDSX345858,False
CUST653313,Mugdha Jani,1993-01-04,Male,+916053518,tailorowen@example.com,"H.No. 565, Brahmbhatt Nagar, Siwan, Nagaland - 989636",DBMDX1492T,730953838759,438440836365195,Savings,Allahabad - Dara Chowk,EYZP277567,True
CUST722472,Daksh Agarwal,2004-05-06,Male,+916383453,basakorinder@example.com,"50/08
Anand Nagar, Hosur, Manipur - 489226",VDSUQ1872O,357329085998,7961757514947,Savings,Giridih - Dara Zila,WYGH361438,True
CUST980365,Harsh Deshmukh,1950-08-05,Male,0330588167,eramaswamy@example.org,"H.No. 707
Viswanathan Road, Nagaon, Haryana - 795561",ECTVH4181S,871286214277,178875631006622,NRI,Siwan - Mohan Marg,ZIAL077858,True
CUST455023,Nihal Sani,1967-06-24,Male,6369786688,mittallakshmi@example.com,"78/714, Yohannan Nagar, Bareilly, Gujarat - 453699",POKGD8640P,455274327034,1661733153614,NRI,Bharatpur - Muni Ganj,PFFP413256,True
CUST623862,Falan Oommen,1964-10-17,Other,6751671568,hematank@example.net,"H.No. 773
Balay, Udaipur, Manipur - 129538",DCUAN0054Z,124320896627,9238648204099967,Current,Ambattur - Malhotra Circle,SQDQ442207,True
CUST395335,Yashica Bali,1954-09-22,Other,+913934514,abhiram22@example.net,"716
Minhas Zila, Kadapa, Haryana - 141458",YULEE4307U,303849202669,13081598895574,Salary,Uluberia - Lal Ganj,ULEY963605,False
CUST959648,Odika Wadhwa,1973-07-18,Male,0529205654,upadhyayvidhi@example.com,"H.No. 02, Brahmbhatt Zila, Raurkela Industrial Township, Gujarat - 745146",PJIET4260Q,425728131944,308850624444,Salary,Bardhaman - Ganguly Circle,UCSU864195,False
CUST603339,Simon Mandal,1966-11-21,Male,0567781852,mahajandaniel@example.com,"H.No. 923, Garde Path, Ballia, Arunachal Pradesh - 788262",RLLAX4545N,839415471209,59103634554993,Salary,Srikakulam - Mital,WCPO604153,True
CUST696891,Meera Deshmukh,1967-03-11,Other,9576930184,acharyadamini@example.net,"H.No. 89, Dani Chowk, Bhubaneswar, Telangana - 412546",BPEEG3729Y,073188838997,5906439265013,NRI,Jehanabad - Bora Ganj,TDOE028286,True
CUST945577,Vasana Devi,1949-10-11,Male,1265503369,dmannan@example.net,"04/93
Nayar Street, Bhiwandi, Haryana - 812117",FASZG9041A,601790912626,328462426163,NRI,Bulandshahr - Sachdev Nagar,PKIN583043,True
CUST641027,Arjun Ahuja,1996-03-25,Other,0559478053,lbhasin@example.net,"06/097, Bhargava Nagar, Bihar Sharif, Manipur - 183446",KIDGT2013H,802549305433,00910768891639,Current,Rajpur Sonarpur - Venkatesh Nagar,EZYK080589,True
CUST341694,Rayaan Gupta,1988-05-16,Other,+916614881,sakshamdeshmukh@example.com,"91/48
Nori Ganj, Rajahmundry, Nagaland - 319832",IHYCF7027I,215211487675,6302123885963790,Savings,Malda - Arora,DQRI815879,True
CUST214516,Jason Srinivasan,1958-04-21,Female,0643205799,barkhadin@example.org,"145, Majumdar Ganj, Bidar, Tamil Nadu - 123795",QPCQM9605D,389297009147,998961278665,NRI,Suryapet - Konda Circle,UUUJ227834,False
CUST241852,Zaid Samra,1993-02-05,Female,4703625399,turvirama@example.com,"H.No. 590
Tak Marg, Meerut, Odisha - 205078",DWVII3480K,992618590429,49530338582930,Savings,North Dumdum - Madan Zila,CEGP979033,False
CUST387675,Varsha Bawa,1969-07-01,Male,0235331357,siddharthkannan@example.net,"33/47, Chandran, Pune, Tripura - 883817",DJGFO9169R,478655518155,0745431801989,Current,Lucknow - Narain Zila,KPDN499929,False
CUST188461,Wazir Panchal,1986-05-10,Female,0898712690,georgeramachandran@example.com,"54/638, Korpal Path, Ludhiana, Bihar - 828826",KSYHQ8005Y,851303145958,1603303378176864,Current,Rourkela - Raval,HEFG832222,False
CUST612100,Rayaan Shetty,1990-09-14,Male,0039165271,umangshan@example.net,"H.No. 689, Bhatia Road, Sri Ganganagar, Haryana - 559074",LFMKO4744T,024807131441,55189884105641,Current,Munger - Bali Street,NKMS805688,False
CUST950528,Vinaya Peri,1998-05-26,Other,4135848736,warinder71@example.org,"H.No. 593
Gokhale Marg, Gulbarga, Bihar - 193007",WQHJG4756P,128748643427,950028981257995,Current,Raiganj - Deo Zila,XESI230557,True
CUST384107,Ishanvi Mane,1950-03-24,Other,+913324297,agrawalomya@example.com,"798, Sen Nagar, Amaravati, Meghalaya - 086073",LFHVL0899T,186833093508,77934528858051,NRI,Ahmednagar - Karan Zila,ZNHF370235,False
CUST659137,Falguni Sarin,1962-03-18,Other,+913727845,xkara@example.com,"21/37
Kaul Chowk, Mira-Bhayandar, Chhattisgarh - 447461",CDUBP6185Q,018467783092,7419477939679,NRI,Bidhannagar - Mani Circle,TOCQ467168,True
CUST865001,Meera Raj,1981-06-26,Other,+912012045,forum96@example.net,"H.No. 309, Manne Road, Bareilly, Bihar - 820498",RMKGH5358N,111533627884,849778612022,NRI,Mathura - Ramanathan Ganj,NGAO528768,True
CUST420270,Neel Saha,1991-10-14,Male,+916387249,inagar@example.com,"944, Pillai Chowk, Berhampur, Tamil Nadu - 479708",DCTBI3545K,752226598330,17061238081990,Current,Yamunanagar - Edwin Road,RFUT053905,False
CUST752087,Ishwar Dhar,1953-12-19,Other,+912330583,earya@example.com,"71/930, Brahmbhatt Road, Tadepalligudem, Tripura - 342756",DPYLN1154G,199023864836,95060424613312,NRI,Panvel - Puri Circle,CEST903260,True
CUST264815,Mohammed Sunder,1978-11-23,Male,7834654427,owen64@example.org,"84/017, Sachdeva Marg, Bharatpur, Rajasthan - 785765",ZRXYK8123V,843134844728,168135090651152,Salary,Kozhikode - Bhat Chowk,WOZF478237,False
CUST944487,Rushil Nigam,1950-12-21,Female,6070256054,vganesan@example.net,"343, Patil Nagar, Kottayam, Goa - 540164",ACFFB5851U,610609733560,3591349926441,Salary,Kadapa - Bajaj Nagar,DRXY092047,True
CUST120510,Rajata Sampath,1977-03-20,Male,0340150558,xtara@example.net,"83/31, Puri Path, Gulbarga, West Bengal - 562677",VDLIZ5089H,900931627808,6329739740089979,Current,Nizamabad - Dara Chowk,ZKOZ838066,True
CUST631287,Bimala Raja,1999-01-13,Male,0745557143,madhavi89@example.org,"104, Bhalla Zila, Pallavaram, Mizoram - 358870",GXYFU9721A,471570919316,584296902287,Savings,Hapur - Ramesh Nagar,GUTT707676,True
CUST603541,Ubika Goel,2006-04-28,Female,7934584832,fluthra@example.net,"80/49, Guha Circle, Ozhukarai, Goa - 614368",HWDXJ7707G,779933258606,5230950064824082,Current,Meerut - Mani Circle,VMAC492967,True
CUST944268,Shivani Chacko,2002-04-10,Other,0123270337,harshil20@example.com,"80
Devan Street, Darbhanga, Punjab - 339816",CGWLG0913E,097021466872,16501351468289,NRI,Rajkot - Nagy Road,YOPK821273,False
CUST677857,Madhavi Sampath,2002-06-15,Male,+914397506,wardabali@example.org,"47/18, Ganesh Street, Kolkata, Sikkim - 889114",EUTYG5344U,362873102189,6574926575112,Current,Tiruvottiyur - Suri Nagar,YJMH053412,False
CUST336158,Dakshesh Prabhu,1956-03-06,Male,+917226401,mandersai@example.net,"H.No. 99, Murthy Marg, Dibrugarh, Kerala - 839801",FDYFE4866Y,520262985319,3851280686861172,NRI,Jalandhar - Rao Ganj,GIOL375844,True
CUST635657,Karan Chauhan,1996-12-09,Female,0243626264,wpathak@example.com,"37
Mutti Road, Kota, Goa - 832523",RVAIV6679K,293257209888,592859751659826,Current,Haridwar - Naidu Marg,KSOT693878,False
CUST717358,Arjun Bora,1975-09-21,Male,0544143683,ssibal@example.org,"80, Deshpande Nagar, Indore, Rajasthan - 151933",GGQZG8842P,524689206837,6244243275007207,NRI,Lucknow - Merchant Marg,XWYP104542,True
CUST603621,Ekapad Zacharia,1975-08-28,Female,7779490536,laban83@example.com,"H.No. 738, Kumar Zila, Raebareli, Rajasthan - 091729",FKVVQ4753P,583377020982,63881269062611,NRI,Morbi - Barad Nagar,KYSF164871,True
CUST650308,Udarsh Bajaj,1970-12-28,Male,+910822989,mastertejas@example.org,"92, Dora, Mango, Maharashtra - 701529",MNMDW0185R,921980380904,90019108620385,Salary,Ahmednagar - Basu Road,LLWG166055,False
CUST922015,Gaurav Soni,1970-01-22,Female,0588781900,chhabrairya@example.com,"H.No. 07, D’Alia Path, Kharagpur, Rajasthan - 539047",GNDSY2587Z,880527783539,617407754789,Savings,Amroha - Deep Ganj,JCKS009564,True
CUST452349,Charles Suresh,1961-02-04,Male,0961799843,spatla@example.org,"H.No. 821
Loyal Zila, Thrissur, Mizoram - 064379",ALAYE5030Q,264613148519,9441216700757508,Salary,Mau - Muni Marg,YKUI813060,False
CUST321571,Gauri Chokshi,1979-05-25,Male,0918301207,bthaman@example.org,"56
Kurian Ganj, Satara, Andhra Pradesh - 764390",FFADP2357Q,460185205661,032400108428532,Savings,Dehradun - Trivedi Nagar,TKCK022604,False
CUST606658,Xalak Issac,1975-04-16,Female,4178747896,ibhargava@example.org,"24/68, Shere, Dehri, Sikkim - 605151",FMKLF0936Q,181313082797,853441893786498,Savings,Chittoor - Vora Road,KYSC463132,False
CUST560711,Odika Bhasin,1958-12-25,Male,7559731426,deomya@example.com,"89, Mammen Ganj, Jamshedpur, Andhra Pradesh - 975546",HPAHE2818O,029010245757,366055741813,Savings,Bhavnagar - Tailor Path,QBRN644540,True
CUST145052,Onveer Naidu,1961-04-22,Other,0812224417,babuaashi@example.org,"83/51, Issac Zila, Bhimavaram, Rajasthan - 105941",NCJZW3872B,440009064198,3981923383764894,Current,Meerut - Bath Marg,VSDM854447,False
CUST538621,Nitara Kala,1969-01-18,Male,+910466855,deshpandefalak@example.com,"H.No. 13
Tripathi Zila, Vadodara, Chhattisgarh - 761727",BPHFJ9183F,898412648215,75186777289637,Savings,Sangli-Miraj & Kupwad - Shah Road,EXMF273759,True
CUST836785,Pratyush Bedi,1982-08-02,Female,0359311905,sundermeghana@example.org,"66/24, Mander Chowk, Kollam, Maharashtra - 450202",FBJQH5095D,683257280802,4006816354472743,NRI,Jamshedpur - Dhawan,QNDF397777,True
CUST499702,Triya Krishna,1985-11-04,Female,+915666693,qbobal@example.com,"067
Nanda Marg, Jabalpur, Meghalaya - 943544",MGLTD3039K,589701530231,229792882859,Salary,Ulhasnagar - Modi Road,LALQ236353,False
CUST185504,Nathaniel Doshi,1992-05-17,Male,0381295095,kundatara@example.com,"06/46, Sura Marg, Nanded, Himachal Pradesh - 928456",AVRKA7253Q,990617708860,7163204975899,Current,Karawal Nagar - Sharaf Path,DBLQ829327,False
CUST758123,Sai Tandon,1977-06-10,Other,+919512905,gayathrimohanty@example.com,"49/50, More Circle, Ghaziabad, Uttar Pradesh - 516522",QWKKL1913A,125649254544,72586021830178,Savings,Darbhanga - Hayre Marg,PJPS678905,True
CUST538380,Zaid Bath,1959-12-19,Male,2519682346,mukherjeesai@example.net,"014, Saran, Karnal, Gujarat - 902490",HETRM3624W,016106778889,53709494640481,Salary,Haldia - Devi Chowk,RTDR418881,False
CUST371973,Xalak Loyal,2004-10-10,Male,5079660729,bimala59@example.com,"208
Raman Road, Chandrapur, Telangana - 295408",NDDQN9205B,436330790572,835140638641433,Salary,Bettiah - Mane Road,RPCT272746,False
CUST969422,Logan Varma,1990-10-06,Other,+916716691,dipta49@example.com,"42/03, Barad Street, Kozhikode, Maharashtra - 995790",XOJWJ9383E,441159386627,197789354342370,Current,Panchkula - Ganesan Ganj,GFYB720836,True
CUST535808,Henry Dubey,1950-11-19,Female,0117981576,satheupma@example.net,"H.No. 81, Chaudhuri Marg, Unnao, Rajasthan - 125521",YXAMI6014V,002642062294,200100021638,Current,Hazaribagh - Vyas Street,FNXO534826,True
CUST334089,Raksha Krishnan,1994-06-02,Male,+919500749,rameshdavid@example.com,"85/94, Sachdev Road, Chandrapur, Andhra Pradesh - 511830",RZMJK7218J,601246703996,8094708660948,Current,Thrissur - Mannan Zila,TAOP346857,True
CUST362824,Vasudha Issac,1985-06-28,Male,0300971333,ishanvideol@example.com,"H.No. 606, Malhotra Road, Panihati, Goa - 756215",BJOYB0494W,229568948047,1556181599479954,Savings,Ujjain - Arora Marg,NITI289405,False
CUST434706,Tejas Kannan,1963-10-12,Other,+915555450,indira38@example.net,"13/581, Virk Road, Gudivada, Telangana - 808525",LXWYV3496H,382575879878,615869514392,Salary,Dehri - Palan,VBXK195585,True
CUST391174,Vansha Gole,1991-11-02,Other,+919474547,ikbal09@example.org,"54/14
Ramanathan Path, Chittoor, Madhya Pradesh - 728481",HQGAK1348J,496285594378,5032816322044,Savings,Loni - Lad Nagar,OVGI124664,False
CUST128941,Patrick Sabharwal,1946-10-06,Male,6767368969,kdhaliwal@example.com,"41, Gokhale Circle, Pune, Sikkim - 851824",JLMAV2584P,361350555015,619217647079,Salary,Baranagar - Nagarajan,HZQC117212,True
CUST554966,Tanvi Merchant,1955-10-04,Other,+917547756,ishwarprashad@example.com,"03, Taneja Road, Sasaram, Andhra Pradesh - 118072",TIDFU9435D,040679475179,227052585108753,Salary,Naihati - Kara Path,OSYQ129216,True
CUST148052,Ikbal Koshy,1987-03-19,Female,+914605336,hemang04@example.com,"H.No. 692, Gala Road, Ujjain, Meghalaya - 715062",LPLVN4158P,393682928503,040651874601158,Savings,Kamarhati - Sheth Path,RQSC781629,False
CUST538457,Bhavani Johal,1990-03-23,Male,+916005988,vnath@example.org,"H.No. 734
D’Alia Nagar, Kakinada, Assam - 504824",PSGXL9225X,200872042189,403435254501763,Salary,Indore - Parsa Chowk,LFUK770380,True
CUST661863,Charan Mander,1944-09-05,Female,7363968643,kadeindira@example.com,"75
Kakar Road, Asansol, Kerala - 764086",TBHDX8563G,452195792962,0538915141392413,NRI,Giridih - Mann Zila,CSJZ261060,True
CUST575269,Bhavika Lata,2000-03-01,Female,8994896546,manderoeshi@example.com,"48/957, Bhattacharyya Street, Korba, Uttar Pradesh - 182124",ONVES3099N,901652088708,15808246863333,Savings,Sambalpur - Bhargava Zila,POHW601412,True
CUST349574,Januja Sant,1952-08-31,Male,0397715195,mmisra@example.org,"H.No. 37, Nagarajan Circle, Tiruchirappalli, Rajasthan - 940224",AWNTN7460F,024490988081,7151936311424348,NRI,Nadiad - Sehgal Marg,GOVR592491,False
CUST735478,Ekta Kade,1962-10-17,Female,+917367548,dadaijaya@example.org,"51
Kohli, Akola, Karnataka - 163314",XORZE0704G,242016619898,9143560070604,NRI,Mumbai - Patla,DTHF307257,False
CUST206266,Anya Wagle,1980-05-21,Other,7042907446,bsridhar@example.com,"88/479
Arora Nagar, Danapur, Uttar Pradesh - 773075",PRBRE7975H,776562472215,5729817090877,Current,Kharagpur - Parmer Street,OMAW204939,False
CUST249984,Falak Bora,1985-08-30,Other,0137434476,widishasahota@example.net,"01, Dugar Circle, Gorakhpur, Bihar - 898539",VWIKS3438C,532803013018,7831957887556,Current,Amravati - Sehgal Chowk,MBCM979222,True
CUST104011,Anusha Prabhakar,1969-11-22,Other,+912426973,henrybumb@example.com,"H.No. 17, Pillai Ganj, Saharanpur, Bihar - 468252",TRCJF4688E,485127552024,740871248289,Salary,Kavali - Ravel Zila,EDIM330194,False
CUST445804,Zayan Pall,1985-02-07,Female,0300777659,ramdhruv@example.net,"75, Chahal Road, Silchar, Odisha - 002484",TEMVZ8464G,515315711333,895655872552,Current,Thrissur - Sarin Ganj,EBKX799180,True
CUST857064,Turvi Parmar,1956-11-29,Female,0158675482,xalak55@example.org,"18/51, Verma Street, Ratlam, Arunachal Pradesh - 201771",FIQAG7727W,679183622438,111415192958342,Salary,Nagaon - Desai Path,FSVH210392,True
CUST937779,Tanish Tata,1946-01-08,Female,+917519813,bimala05@example.net,"H.No. 42, Sankaran Nagar, Hazaribagh, Punjab - 333070",POEQP4816W,152220232973,775790073072759,NRI,Haldia - Kakar Marg,TVNC124187,True
CUST121064,Raksha Borra,1985-04-03,Female,+919644798,asavant@example.net,"33, Bajwa Path, Bahraich, Kerala - 819748",ZKDVN0347N,636162677658,303493897528,Current,Pali - Bose Circle,LDQN344307,True
CUST260801,Gaurang Magar,1995-08-17,Other,2607916141,xitidora@example.com,"03
Kade Street, Ongole, Manipur - 077140",KDFVD5491D,379953444532,902363828202,Salary,Bidar - Pau Chowk,XXLL376221,False
CUST172719,Chatura Iyengar,1980-12-10,Female,9150604103,xitiroy@example.net,"100, Varma Marg, Warangal, Chhattisgarh - 277812",RTACK9763O,247911875348,51197548214140,Salary,Dehradun - Korpal Marg,TJRN512762,True
CUST543846,Michael Issac,1986-03-12,Other,0739396272,seshadrijeet@example.com,"59, Sridhar, Pudukkottai, Tamil Nadu - 612095",XQYFE3460N,670339082591,56419928678435,Savings,Hazaribagh - Narain Zila,JOHT891542,True
CUST777001,Oviya Gara,2004-08-03,Male,+918957412,jhalakrajan@example.net,"76/09, Kade Chowk, Kota, Manipur - 794254",GSPYW8659T,364138662006,77840471199721,Current,Sultan Pur Majra - Gill Path,PJRV462724,False
CUST862203,Jeet Rege,1997-12-15,Male,3803647530,varghesetanvi@example.org,"14/35, Srinivasan Zila, Medininagar, Haryana - 107845",UJJEU8846C,728749346957,5814211975841,Salary,Salem - Puri,AKXM323808,False
CUST364941,Alka Hari,1982-08-31,Other,0000010588,joshivasudha@example.org,"445, Nanda Circle, Agra, Telangana - 678833",JXXIL5561T,752139385183,889092389363254,Savings,Noida - Pillay Circle,KBAF590521,False
CUST397417,Zilmil Naidu,1974-05-23,Male,0350518959,pramanathan@example.net,"H.No. 35
Taneja, Kota, Nagaland - 901429",QPPNC7227U,004276541966,654916929075186,Salary,Guwahati - Sagar Chowk,MLOT140454,True
CUST602837,Omisha Dutta,1956-08-14,Other,0060334425,ssolanki@example.org,"H.No. 112, Rai Ganj, Siliguri, Jharkhand - 134298",BHEWO4364L,075779874132,8288493928326,NRI,Muzaffarnagar - Tiwari Chowk,YGQI561401,False
CUST845797,Aadhya Hayer,1985-01-20,Male,+913673356,nandini37@example.net,"819, Chandran, Singrauli, Uttarakhand - 442774",SZINH0689D,281964013194,147383557510838,Salary,Jamalpur - Bhakta Ganj,FEKJ896167,True
CUST802981,Damyanti Saxena,1968-01-06,Female,0708507499,radha23@example.net,"80
Ramanathan Road, Mango, Himachal Pradesh - 895289",QNORA9566N,354613654969,3564297333504884,Current,Salem - Jaggi Nagar,AMYJ845123,True
CUST607299,Lopa Dara,2005-07-04,Female,8289335187,deepapillay@example.net,"H.No. 81, Chatterjee Ganj, Muzaffarnagar, Meghalaya - 858031",WLKSB5817F,520843490694,375125058818,Savings,Rajpur Sonarpur - Saraf Ganj,VYPE448292,True
CUST634860,Rishi Tata,2003-12-01,Female,0264071838,uvora@example.net,"83/57
Randhawa Ganj, Bhusawal, Odisha - 490374",EVMQH3458J,018574472061,0646784091340,NRI,Sri Ganganagar - Gill Chowk,KNJA165105,False
CUST671797,Omisha Pradhan,1945-08-05,Female,0510071792,riadyal@example.org,"H.No. 204
Mander Street, Guna, Gujarat - 558092",RNYFG8359U,548695897204,292200245636734,Current,Jalgaon - Balan Nagar,EUEZ282603,True
CUST663324,Nikita Rau,1954-01-19,Male,+918524163,xkibe@example.org,"01/812
Murty Zila, Jalandhar, Tripura - 788813",TSIQJ1048E,901735734229,708404425063,Savings,Nizamabad - Pingle Path,VOER646502,True
CUST926105,Hemang Dugar,2005-08-26,Male,+915360181,gabawilliam@example.com,"753, Bassi Chowk, Amravati, West Bengal - 945170",PMRXD0813V,840169014698,6575900883981156,Salary,Nadiad - Parekh Nagar,MANP169437,False
CUST899474,Daniel Nair,1958-11-16,Female,0450184209,imaran96@example.net,"72/831
Keer Street, Uluberia, Manipur - 145854",AKPTD4103O,923469676973,7006696363732477,Savings,Kavali - Mahajan,SMTR083040,True
CUST822590,Anthony Bansal,2006-07-06,Female,0979582705,acharyakamya@example.org,"38/866, Thakur Chowk, Sultan Pur Majra, Madhya Pradesh - 186087",FIZGQ8452V,621333747096,81232646171912,Current,Hospet - Rastogi Chowk,CVXD063890,False
